Hospital ; care_site_id/care_site_name
Cohort ; cohort_definition_id
ConditionPeriod ; condition_era_id
ConditionSuggestion ; cohort_definition_id
Death ; person_id/death_type_concept_id
DrugCost ; cost_id
DrugInfluencePeriod ; person_id/drug_era_id
DrugExposure ; drug_exposure_id
Location ; care_site_id
Observation ; observation_id
Organization ; 
PayerPlan ; payer_plan_period_id
Patient ; person_id
ProcedureCost ; cost_id
ProcedureOccurence ; procedure_occurrence_id
HealthcareProfesional ; provider_id
VisitOccurence ; visit_occurrence_id
DeviceExposure ; device_exposure_id
ConstantDosePeriod ; dose_era_id
DrugStrength ; drug_concept_id
Measurement ; measurement_id
Note ; note_id
ObservationPeriod ; observation_period_id
LaboratorySpecimen ; specimen_id
